Id pedido	Cliente	Clase de pedido	Gu? Inmediata	Organizaci? de venta	Canal	Sector	Referencia cliente (OC)	Motivo de Pedido	Fecha Entrega	Posici?	Material	Descripci? del item	Centro	Cantidad	Unidad	Tipo Interlocutor	Precio unitario	Moneda	Referencia a factura	Peso	Unidad de Peso
1	30222222	ZPDD		7140	C1	0	30555	F01	20250703	10	1500		7143	10	UN	WE					
1	30222222	ZPDD		7140	C1	0	30555	F01	20250703	20	9000		7143	10	UN	WE					
1	30222222	ZPDD		7140	C1	0	30555	F01	20250703	30	30500		7143	10	UN	WE					
1	30222222	ZPDD		7140	C1	0	30555	F01	20250703	40	5200		7143	10	UN	WE					
1	30222222	ZPDD		7140	C1	0	30555	F01	20250703	50	5400		7143	10	UN	WE					
2	30000146	ZPDD		7199	C1	0	552	F01	20250602	10	610401		7143	20	UN	WE					
2	30000146	ZPDD		7199	C1	0	552	F01	20250602	20	5200		7143	10	UN	WE					
2	30000146	ZPDD		7199	C1	0	552	F01	20250602	30	30500		7143	10	UN	WE					
2	30000146	ZPDD		7199	C1	0	552	F01	20250602	40	30600		7143	10	UN	WE					
2	30000146	ZPDD		7199	C1	0	552	F01	20250602	50	19000		7143	20	UN	WE					
2	30000146	ZPDD		7199	C1	0	552	F01	20250602	60	610402		7143	20	UN	WE					
2	30000146	ZPDD		7199	C1	0	552	F01	20250602	70	1500		7143	520	UN	WE					
2	30000146	ZPDD		7199	C1	0	552	F01	20250602	80	660202		7143	20	UN	WE					
2	30000146	ZPDD		7199	C1	0	552	F01	20250602	90	98200005		7143	20	UN	WE					
3	20252225	ZPDD		7199	C1	0		F01	20250602	10	112800		7143	1000	UN	WE					
3	20252225	ZPDD		7199	C1	0		F01	20250602	20	220000		7143	52	UN	WE					
3	20252225	ZPDD		7199	C1	0		F01	20250602	30	348000		7143	1212	UN	WE					
3	20252225	ZPDD		7199	C1	0		F01	20250602	40	52200		7143	20	UN	WE					
3	20252225	ZPDD		7199	C1	0		F01	20250602	50	32452585		7143	20	UN	WE					
3	20252225	ZPDD		7199	C1	0		F01	20250602	60	1500		7143	20	UN	WE					
4	20222222	ZPDD		7100	C1	0	5222	F01	20250602	10	222220		7143	22	UN	WE					
4	20222222	ZPDD		7100	C1	0	5222	F01	20250602	20	505550		7143	502	UN	WE					
4	20222222	ZPDD		7100	C1	0	5222	F01	20250602	30	120220		7143	1020	UN	WE					
4	20222222	ZPDD		7100	C1	0	5222	F01	20250602	40	502220		7143	2	UN	WE					
4	20222222	ZPDD		7100	C1	0	5222	F01	20250602	50	2052252		7143	2	UN	WE					
4	20222222	ZPDD		7100	C1	0	5222	F01	20250602	60	508850		7143	22	UN	WE					
4	20222222	ZPDD		7100	C1	0	5222	F01	20250602	70	502663		7143	20	UN	WE					
4	20222222	ZPDD		7100	C1	0	5222	F01	20250602	80	502222		7143	5000	UN	WE					
